Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.40801,-0.91177,-1.935,0,0,0,2.901,0.021626,-1.2451E-07,-1.8468E-06,0.037904,9.8111E-08,0.021592,0,0,0,0,0,0,package://m_2025642_001/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025642_001/meshes/base_link.STL,,M-2025642-012-1;410590-2690-c001-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,-0.26223,0.066688,-0.0012268,0,0,0,4.7031,0.30402,0.36419,-0.0023219,0.59218,0.0017178,0.85409,0,0,0,0,0,0,package://m_2025642_001/meshes/shoulder_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025642_001/meshes/shoulder_link.STL,,410590-2690-c002-1,Origin_joint_1,,joint_1,revolute,-0.408,1.935,-0.7945,1.5708,0,3.1416,base_link,0,0,1,0.1,0.1,0,0.5,,,,,,,,
elbow_joint,-0.26223,0.066688,-0.0012268,0,0,0,4.7031,0.30402,0.36419,-0.0023219,0.59218,0.0017178,0.85409,0,0,0,0,0,0,package://m_2025642_001/meshes/elbow_joint.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025642_001/meshes/elbow_joint.STL,,410590-2690-c003-1,Origin_joint_2,,joint_2,revolute,0,0,0,0,0,0,shoulder_link,0,0,1,0.1,0.1,0,0.5,,,,,,,,
vertical_link,-0.26223,0.066688,-0.0012268,0,0,0,4.7031,0.30402,0.36419,-0.0023219,0.59218,0.0017178,0.85409,0,0,0,0,0,0,package://m_2025642_001/meshes/vertical_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025642_001/meshes/vertical_link.STL,,410590-2690-c004-1,Origin_joint_3,,joint_3,prismatic,0,0,0,0,0,0,elbow_joint,0,0,1,0.1,0.1,0,0.5,,,,,,,,
wrist_link,-0.0054245,0.0031842,0.015536,0,0,0,0.98454,0.004512,-3.8217E-06,1.1442E-05,0.0040377,2.4417E-06,0.00065001,0,0,0,0,0,0,package://m_2025642_001/meshes/wrist_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025642_001/meshes/wrist_link.STL,,410590-2640-c_drx-1;M-2025642-051-1;M-2025642-030-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25L-50C_00000019-1;AS2201F-01-06SA-3-1;AS2201F-01-06SA-2-1;AS2201F-01-06SA-1;AS2201F-01-06SA-1-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25-20CS-M9BL_004-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25-20CS-M9BL_001-1,Origin_joint_4,,joint_4,revolute,-0.7,0.349,0,-1.5708,0,-1.5708,vertical_link,0,0,1,0.1,0.1,0,0.5,,,,,,,,
gripper_left_link,0.046122,0.0034639,-0.035456,0,0,0,0.72624,0.00065441,-5.7061E-06,-5.7956E-05,0.0038141,1.4743E-06,0.0041559,0,0,0,0,0,0,package://m_2025642_001/meshes/gripper_left_link.STL,1,1,1,1,0,0,0,0,0,0,package://m_2025642_001/meshes/gripper_left_link.STL,,M-2025642-060-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25L-50C_00000020-1;M-2025642-100-1;M-2025642-051-1;M-2025642-040-1;M-2025642-040-1-1;M-2025642-90-1,Origin_gripper_left_joint,,gripper_left_joint,prismatic,-0.049,0.004,0.1395,3.1416,1.5708,0,wrist_link,1,0,0,0.1,0.1,0,0.5,,,,,,,,
gripper_right_link,-0.0016357,0.025649,-0.025285,0,0,0,0.36683,0.00045483,-5.4225E-08,1.125E-08,0.00079526,2.7795E-05,0.00075934,0,0,0,0,0,0,package://m_2025642_001/meshes/gripper_right_link.STL,0.8549,0.74118,0.91765,1,0,0,0,0,0,0,package://m_2025642_001/meshes/gripper_right_link.STL,,M-2025642-070-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25-20CS-M9BL_005-1;ƒGƒAƒXƒ‰ƒCƒhƒe[ƒuƒ‹_MXQ25-20CS-M9BL_002-1;M-2025642-080-1-1;M-2025642-080-1,Origin_gripper_right_joint,,gripper_right_joint,prismatic,0.011,0,-0.173,3.1416,0,-1.5708,wrist_link,1,0,0,0.1,0.1,0,0.5,,,,,,,,
