Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.23397,0.00029888,0.15629,0,0,0,5.7833,0.029824,0.0001163,-2.0315E-05,0.044642,3.2398E-05,0.057924,0,0,0,0,0,0,package://m_2063306_000/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2063306_000/meshes/base_link.STL,,Assem9^M-2063306-000-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0010188,0.00075539,0.25483,0,0,0,4.9135,0.023378,-0.00023389,5.6233E-06,0.026512,-1.1668E-05,0.044967,0,0,0,0,0,0,package://m_2063306_000/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2063306_000/meshes/link_1.STL,,Assem6^M-2063306-000-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.2845,0,0.127,0,0,0,base_link,0,0,1,0.1,0.1,0,1,,,,,,,,
