Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0079588,0.53745,0.29257,0,0,0,25.945,3.1047,7.4183E-05,-0.00021729,0.061286,0.0088416,3.1103,0,0,0,0,0,0,package://m_4730788_001/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_4730788_001/meshes/base_link.STL,,Assem18^M-4730788-001-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.035968,0.27493,0.22182,0,0,0,5.6095,0.069776,-4.5144E-06,-0.00039418,0.068863,-3.9361E-06,0.0062752,0,0,0,0,0,0,package://m_4730788_001/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_4730788_001/meshes/link_1.STL,,Assem20^M-4730788-001-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0,-0.0041461,0.37535,0,0,0,base_link,0,1,0,0.1,0.1,0,0.5,,,,,,,,
link_2,0.1819,1.4438E-05,-0.12956,0,0,0,1.8798,0.0025187,-1.2207E-05,8.5334E-07,0.0027656,1.0645E-07,0.0012183,0,0,0,0,0,0,package://m_4730788_001/meshes/link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_4730788_001/meshes/link_2.STL,,Assem19^M-4730788-001-1,Origin_joint_2,Axis_joint_2,joint_2,prismatic,0.074922,0.27494,0.46365,0,0,0,link_1,0,0,1,0.1,0.1,0,-0.5,,,,,,,,
