Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.58983,0.63355,0.96408,0,0,0,56.671,5.0862,0.096549,0.011489,11.551,0.00029138,15.131,0,0,0,0,0,0,package://m_2025643_001/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025643_001/meshes/base_link.STL,,M-2025643-001_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.11461,-0.023751,-0.20534,0,0,0,17.887,0.85265,0.0020243,0.0034461,0.42068,-0.00010302,0.47399,0,0,0,0,0,0,package://m_2025643_001/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025643_001/meshes/link_1.STL,,M-2025643-001_horizontal-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,-0.37671,0.676,1.2315,0,0,0,base_link,1,0,0,0.1,0.1,0,1,,,,,,,,
link_2,0.070659,-0.031425,0.0021627,0,0,0,8.1181,0.43894,0.0013519,0.00017093,0.045982,-0.0024625,0.45094,0,0,0,0,0,0,package://m_2025643_001/meshes/link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025643_001/meshes/link_2.STL,,M-2025643-001_02_vertical-1,Origin_joint_2,Axis_joint_2,joint_2,prismatic,0.20285,-0.084066,-0.62709,0,0,0,link_1,0,0,1,0.1,0.1,0,0.5,,,,,,,,
gripper_left_link,-0.016946,-0.019226,-0.088431,0,0,0,1.0465,0.0009527,-0.00010594,0.00013512,0.0010535,0.00011099,0.001289,0,0,0,0,0,0,package://m_2025643_001/meshes/gripper_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025643_001/meshes/gripper_left_link.STL,,M-2025643-001_03_arm-1,Origin_gripper_left_joint,Axis_gripper_left_joint,gripper_left_joint,prismatic,0.286,-0.37124,-0.046329,0,0,0,link_2,0,1,0,0.1,0.1,0,0.2,,,,,,,,
finger_left_link,0.0044985,0.062888,-0.006434,0,0,0,0.38585,0.00020691,2.0797E-07,-4.5948E-07,0.00034559,-3.5191E-07,0.00038383,0,0,0,0,0,0,package://m_2025643_001/meshes/finger_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://m_2025643_001/meshes/finger_left_link.STL,,M-2025643-001_03_gripper-1,Origin_finger_left_joint,Axis_finger_left_joint,finger_left_joint,revolute,0,0.047,-0.148,0,0,0,gripper_left_link,0,1,0,0.1,0.1,-0.2,0.2,,,,,,,,
